"DateTime","Australia","Brazil","Canada","China","Denmark","Finland","France","Germany","Hong Kong","India","Indonesia","Italy","Japan","Malaysia","Mexico","Netherlands","Norway","Philippines","Saudi Arabia","Singapore","South Korea","Spain","Sweden","Taiwan","Thailand","UAE","UK","USA","Vietnam"
"2020-07-03 23:51:40",45,,,,,,,,,,,,,,,,,,,,,,,,,,48
"2020-07-05 23:51:40",,,,,,,,,,,,,,,,,,,,,,,,,,64
"2020-07-06 23:51:40",,,,57,,,,,54,,84,,,86,,,,82,,,,,,52,65,,,58,76
"2020-07-07 23:51:40",,,54,,,,,,,,,56,,,,,,,,69
"2020-07-08 23:51:40",,,,,39,,,,,,,52,,,,,,83
"2020-07-09 23:51:40",45,,,,,,48,35,,50,,,,,,,,,,,,44,,,,,,,77
"2020-07-10 23:51:40",,,,,,,,,,,80,,,80,,,,,,65,,,,,59
"2020-07-11 23:51:40",,,,,,24
"2020-07-12 23:51:40",,,,,,,,,,,,,,,,,,,,,,,,,,,48
"2020-07-13 23:51:40",,,,,,,,,,,,,,,,,,,69,,,,,,,65
"2020-07-14 23:51:40",,,,,,,,,,,,58,,,,,,,,,,,,,,,,58
"2020-07-16 23:51:40",,,,,,,56,35,,,,,,,,,,,,,,43
"2020-07-20 23:51:40",,,,56,,,,,,,83,,,83,,,,78,,69,,,,51,70,,,58,75
"2020-07-21 23:51:40",,,55,,,,,,66,,,59,,,,,,,,,,,,,,61
"2020-07-22 23:51:40",,,,,,,56
"2020-07-23 23:51:40",,,,,,,,,,64,,,,,,,,,,,,44
"2020-07-26 23:51:40",,,,,,,,,,,,,,,,,,,,,,,,,,,44
"2020-07-27 23:51:40",,,,,,,,,,,,,,,,,,,,,,,,,,,,58
"2020-07-28 23:51:40",,,,,,,,,,,,61
"2020-07-29 23:51:40",,,,,,,,,,,,,,,,,,,67,,,,,,,62
"2020-07-30 23:51:40",,,,,,,,40,,,,,,,,,,,,,,45
"2020-07-31 23:51:40",,,,,,,,,,,,,,,,,,,,,,,,,,,49
"2020-08-02 23:51:40",52,,,,,,,,,59
"2020-08-03 23:51:40",,,,,,,,,,,,,,,,,,,,,,,,,,,,57
